MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
11.05,1,4,0.25,1,2,0.5,1,2,0.5,2,4,6,0,0,0,0,2,4,3.0
8.9,1,3,0.333,0,0,0.0,0,0,0.0,1,2,3,1,2,0,1,1,2,2.9
31.97,3,10,0.3,1,4,0.25,0,0,0.0,2,5,7,1,1,0,1,5,7,2.8
7.6,2,3,0.667,0,1,0.0,0,0,0.0,0,0,0,2,1,0,2,1,4,2.7
30.73,1,6,0.167,0,3,0.0,1,2,0.5,5,5,10,2,0,1,2,3,3,2.7
19.32,0,1,0.0,0,0,0.0,0,0,0.0,3,1,4,3,1,1,2,2,0,2.7
3.37,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,2,0,0,0,2.7
21.23,1,7,0.143,1,6,0.167,0,0,0.0,3,3,6,1,1,0,0,2,3,2.4
5.32,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,0,1,0,0,2,2.3
5.6,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,4,0,0,0,3,0,2.3
15.97,1,5,0.2,0,2,0.0,0,0,0.0,1,1,2,3,1,0,0,2,2,2.2
9.95,1,1,1.0,0,0,0.0,1,2,0.5,0,1,1,1,0,0,0,3,3,2.1
3.43,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,2.0
26.38,1,8,0.125,1,4,0.25,0,0,0.0,2,6,8,2,1,0,1,1,3,2.0
15.78,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,2,2,1.9
3.73,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,0,0,1.7
4.88,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,0,0,1.7
17.9,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0,4,2,0,2,2,2,1.6
18.75,1,4,0.25,0,3,0.0,0,0,0.0,0,5,5,1,1,0,0,3,2,1.6
6.05,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,1,2,1.6
28.25,1,6,0.167,0,4,0.0,1,1,1.0,0,2,2,1,2,1,1,2,3,1.4
15.38,2,8,0.25,0,5,0.0,0,0,0.0,0,0,0,1,0,2,0,0,4,1.3
17.67,1,3,0.333,0,2,0.0,0,0,0.0,0,3,3,2,0,0,1,1,2,1.2
4.43,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,1.0
4.43,0,0,0.0,0,0,0.0,2,2,1.0,1,1,2,0,0,0,2,0,2,1.0
6.22,1,3,0.333,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,2,2,0.9
15.98,2,8,0.25,0,4,0.0,0,2,0.0,1,8,9,0,0,0,0,2,4,0.7
4.43,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,0.7
29.8,3,12,0.25,0,9,0.0,3,6,0.5,0,4,4,3,1,0,3,3,9,0.7
35.28,2,10,0.2,1,5,0.2,0,0,0.0,2,4,6,0,1,1,1,4,5,0.5
7.12,1,3,0.333,0,0,0.0,1,2,0.5,1,0,1,0,0,0,1,1,3,0.2
23.68,0,5,0.0,0,3,0.0,0,0,0.0,1,1,2,3,1,0,0,1,0,0.2
19.9,0,3,0.0,0,2,0.0,1,2,0.5,2,2,4,2,0,0,1,2,1,0.1
4.42,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
3.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,0.0
3.18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
1.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
1.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
26.55,0,7,0.0,0,4,0.0,2,4,0.5,2,2,4,4,0,4,2,5,2,-0.1
5.77,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,-0.2
9.43,1,2,0.5,0,0,0.0,1,1,1.0,0,2,2,0,0,0,3,0,3,-0.4
3.2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7
8.63,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,1,1,0,-0.8
2.85,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,3,0,-0.8
19.1,0,8,0.0,0,3,0.0,2,2,1.0,0,1,1,2,2,1,0,4,2,-0.8
11.77,0,3,0.0,0,1,0.0,1,2,0.5,0,0,0,0,1,0,0,1,1,-0.9
1.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.0
3.05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.0
11.23,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,2,0,-1.2
12.62,1,6,0.167,0,4,0.0,0,0,0.0,0,0,0,0,1,0,0,1,2,-1.2
15.57,1,6,0.167,1,5,0.2,0,0,0.0,0,5,5,1,0,0,2,2,3,-1.4
6.4,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,-1.4
7.88,1,3,0.333,1,1,1.0,0,0,0.0,0,1,1,0,0,0,1,5,3,-1.4
20.88,0,4,0.0,0,2,0.0,0,0,0.0,1,2,3,1,0,0,0,2,0,-1.6
7.08,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-1.8
9.28,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,1,2,1,0,-1.8
9.73,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-1.8
24.2,1,11,0.091,1,9,0.111,0,0,0.0,0,5,5,6,0,0,2,4,3,-2.2
